gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,OnlineSecurity,DeviceProtection,StreamingTV,StreamingMovies,Contract,PaymentMethod,Churn
Female,0,Yes,No,1,No,DSL,No,No,No,No,Month-to-month,Electronic check,No
Male,0,No,No,34,Yes,DSL,Yes,Yes,No,No,One year,Mailed check,No
Male,0,No,No,2,Yes,DSL,Yes,No,No,No,Month-to-month,Mailed check,Yes
Male,0,No,No,45,No,DSL,Yes,Yes,No,No,One year,Bank transfer (automatic),No
Female,0,No,No,2,Yes,Fiber optic,No,No,No,No,Month-to-month,Electronic check,Yes
Female,0,No,No,8,Yes,Fiber optic,No,Yes,Yes,Yes,Month-to-month,Electronic check,Yes
Male,0,No,Yes,22,Yes,Fiber optic,No,No,Yes,No,Month-to-month,Credit card (automatic),No
Female,0,No,No,10,No,DSL,Yes,No,No,No,Month-to-month,Mailed check,No
Female,0,Yes,No,28,Yes,Fiber optic,No,Yes,Yes,Yes,Month-to-month,Electronic check,Yes
Male,0,No,Yes,62,Yes,DSL,Yes,No,No,No,One year,Bank transfer (automatic),No
Male,0,Yes,Yes,13,Yes,DSL,Yes,No,No,No,Month-to-month,Mailed check,No
Male,0,No,No,16,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,Credit card (automatic),No
Male,0,Yes,No,58,Yes,Fiber optic,No,Yes,Yes,Yes,One year,Credit card (automatic),No
Male,0,No,No,49,Yes,Fiber optic,No,Yes,Yes,Yes,Month-to-month,Bank transfer (automatic),Yes
Male,0,No,No,25,Yes,Fiber optic,Yes,Yes,Yes,Yes,Month-to-month,Electronic check,No
Female,0,Yes,Yes,69,Yes,Fiber optic,Yes,Yes,Yes,Yes,Two year,Credit card (automatic),No
Female,0,No,No,52,Yes,No,No internet service,No internet service,No internet service,No internet service,One year,Mailed check,No
Male,0,No,Yes,71,Yes,Fiber optic,Yes,Yes,Yes,Yes,Two year,Bank transfer (automatic),No
Female,0,Yes,Yes,10,Yes,DSL,No,Yes,No,No,Month-to-month,Credit card (automatic),Yes
Female,0,No,No,21,Yes,Fiber optic,No,Yes,No,Yes,Month-to-month,Electronic check,No
Male,1,No,No,1,No,DSL,No,Yes,No,Yes,Month-to-month,Electronic check,Yes
Male,0,Yes,No,12,Yes,No,No internet service,No internet service,No internet service,No internet service,One year,Bank transfer (automatic),No
Male,0,No,No,1,Yes,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Mailed check,Yes
Female,0,Yes,No,58,Yes,DSL,No,No,No,No,Two year,Credit card (automatic),No
Male,0,Yes,Yes,49,Yes,DSL,Yes,No,No,No,Month-to-month,Credit card (automatic),No
Female,0,No,No,30,Yes,DSL,Yes,No,No,No,Month-to-month,Bank transfer (automatic),No
Male,0,Yes,Yes,47,Yes,Fiber optic,No,No,Yes,Yes,Month-to-month,Electronic check,Yes
Male,0,Yes,Yes,1,No,DSL,No,No,No,No,Month-to-month,Electronic check,Yes
Male,0,Yes,No,72,Yes,DSL,Yes,Yes,Yes,Yes,Two year,Credit card (automatic),No
Female,0,No,Yes,17,Yes,DSL,No,No,Yes,Yes,Month-to-month,Mailed check,Yes
Female,1,Yes,No,71,Yes,Fiber optic,Yes,Yes,No,No,Two year,Credit card (automatic),No
Male,1,Yes,No,2,Yes,Fiber optic,No,Yes,Yes,Yes,Month-to-month,Credit card (automatic),No
Female,0,Yes,Yes,27,Yes,DSL,Yes,Yes,No,No,One year,Mailed check,No
Male,0,No,No,1,Yes,No,No internet service,No internet service,No internet service,No internet service,Month-to-month,Bank transfer (automatic),No
Male,1,No,No,1,Yes,DSL,No,No,No,No,Month-to-month,Bank transfer (automatic),No
Female,0,Yes,Yes,72,Yes,Fiber optic,Yes,No,Yes,No,Two year,Bank transfer (automatic),No
Male,0,No,No,5,Yes,Fiber optic,No,No,No,No,Month-to-month,Electronic check,Yes
Female,0,No,No,46,Yes,Fiber optic,No,Yes,No,No,Month-to-month,Credit card (automatic),No
Male,0,No,No,34,Yes,Fiber optic,No,Yes,Yes,Yes,Month-to-month,Electronic check,Yes
Female,0,No,No,11,Yes,Fiber optic,No,Yes,Yes,Yes,Month-to-month,Bank transfer (automatic),Yes
Male,0,Yes,Yes,10,Yes,DSL,No,No,No,No,One year,Mailed check,No
Female,0,Yes,Yes,70,Yes,DSL,Yes,No,Yes,No,Two year,Credit card (automatic),No
Female,0,Yes,Yes,17,Yes,No,No internet service,No internet service,No internet service,No internet service,One year,Mailed check,No
Female,0,No,No,63,Yes,DSL,Yes,Yes,Yes,No,Two year,Credit card (automatic),No
Female,0,Yes,No,13,Yes,DSL,Yes,No,Yes,No,Month-to-month,Electronic check,No
Female,0,No,No,49,Yes,Fiber optic,No,No,No,Yes,Month-to-month,Electronic check,No
Male,0,No,No,2,Yes,DSL,No,No,No,No,Month-to-month,Mailed check,No
Female,0,No,No,2,Yes,Fiber optic,No,No,Yes,No,Month-to-month,Electronic check,Yes
Male,0,No,No,52,Yes,DSL,Yes,No,Yes,Yes,Two year,Credit card (automatic),No
Female,0,Yes,Yes,69,Yes,DSL,Yes,Yes,No,No,Two year,Credit card (automatic),No
Female,1,No,No,43,Yes,Fiber optic,No,No,Yes,No,Month-to-month,Electronic check,No
Female,0,No,No,15,Yes,Fiber optic,Yes,No,Yes,Yes,Month-to-month,Credit card (automatic),Yes
Female,1,Yes,No,25,Yes,DSL,Yes,No,Yes,No,Month-to-month,Credit card (automatic),No
Female,1,Yes,No,8,Yes,Fiber optic,No,No,No,No,Month-to-month,Credit card (automatic),Yes
Female,1,Yes,Yes,60,Yes,DSL,Yes,Yes,No,Yes,One year,Credit card (automatic),No
Male,1,No,No,18,Yes,Fiber optic,No,No,Yes,Yes,Month-to-month,Electronic check,Yes
Female,0,Yes,Yes,63,Yes,Fiber optic,Yes,No,Yes,Yes,One year,Credit card (automatic),No
Male,1,Yes,Yes,66,Yes,Fiber optic,No,Yes,Yes,Yes,One year,Electronic check,No
Female,0,Yes,Yes,34,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,Credit card (automatic),No
Female,0,No,No,72,Yes,Fiber optic,No,Yes,Yes,Yes,Two year,Credit card (automatic),No
Female,0,Yes,No,47,Yes,Fiber optic,No,Yes,Yes,Yes,Month-to-month,Electronic check,No
Male,0,No,No,60,Yes,Fiber optic,No,No,Yes,No,Month-to-month,Bank transfer (automatic),No
Male,0,Yes,No,72,No,DSL,Yes,Yes,No,No,Two year,Bank transfer (automatic),No
Female,0,Yes,Yes,18,Yes,DSL,No,Yes,No,No,One year,Credit card (automatic),No
Female,0,No,No,9,Yes,Fiber optic,No,No,Yes,Yes,Month-to-month,Electronic check,Yes
Female,0,No,No,3,Yes,DSL,No,No,Yes,Yes,Month-to-month,Electronic check,No
Male,0,Yes,No,47,Yes,Fiber optic,No,No,No,No,One year,Electronic check,No
Female,0,No,No,31,Yes,DSL,No,Yes,Yes,Yes,Two year,Mailed check,No
Female,0,Yes,Yes,50,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),No
Male,0,No,No,10,Yes,Fiber optic,Yes,Yes,No,No,Month-to-month,Mailed check,No
Male,0,No,No,1,Yes,DSL,No,No,No,No,Month-to-month,Mailed check,No
Female,0,Yes,Yes,52,Yes,No,No internet service,No internet service,No internet service,No internet service,One year,Electronic check,No
Male,1,Yes,Yes,64,Yes,Fiber optic,Yes,Yes,Yes,Yes,Two year,Bank transfer (automatic),No
Male,0,Yes,Yes,62,Yes,No,No internet service,No internet service,No internet service,No internet service,Two year,Bank transfer (automatic),No
